Student_id,Student_name,Gender,Attendance_rate,Studyhours_per_week,Previous_grade,Extracurricular_activities,Parental_support,Final_grade,Study _hours,Online_classes_taken
1,John,Male,85,15,78,1,High,80,4.8,FALSE
2,Sarah,Female,90,20,85,2,Medium,87,2.2,TRUE
3,Alex,Male,78,10,65,0,Low,68,4.6,FALSE
4,Michael,Male,92,25,90,3,High,92,2.9,FALSE
5,Emma,Female,,18,82,2,Medium,85,4.1,TRUE
6,Olivia,Female,95,30,88,1,High,,2.8,FALSE
7,Daniel,Male,70,8,60,0,Low,62,4.5,FALSE
8,Sophia,Female,,17,77,1,Medium,78,1,TRUE
9,James,Male,82,12,70,2,Low,72,3.6,FALSE
10,Isabella,Female,91,22,86,3,High,88,2.9,TRUE
2824,Shannon Harrison,Male,88,25,90,0,,87,3.4,TRUE
7912,Peter Davila,Male,85,20,,3,Low,88,0.1,FALSE
4611,Katherine Gray,Female,91,18,78,0,Low,62,1.7,TRUE
6514,Megan Miller,Male,90,8,85,1,Medium,88,1.3,FALSE
,James Williams,Male,70,20,70,2,Low,88,4.4,TRUE
2139,Derrick Alexander,Male,,18,85,3,High,62,1.4,FALSE
,Courtney Clark,,95,25,82,2,Low,68,2.7,TRUE
8573,James Smith,Female,88,12,90,1,High,92,4.1,FALSE
5386,James Reynolds,Male,92,22,88,3,Low,78,2,FALSE
3340,Brittany Sutton,Female,78,25,70,2,Medium,88,2.1,FALSE
6930,Annette Medina,Male,78,12,77,2,High,87,0.8,FALSE
2040,James Duncan,Female,70,22,77,2,Medium,72,4.3,TRUE
9797,Donna Taylor,Female,95,20,82,,High,78,0,FALSE
9201,David Robertson,Male,82,20,82,,Low,,0.8,TRUE
9837,Susan Brown,Male,91,30,77,1,High,90,4.4,TRUE
1949,Jessica Ortega,Male,91,20,,1,High,72,3.8,FALSE
3705,Jeremy Hall,Female,,,60,3,Low,92,3.6,FALSE
8177,Peter Jones,Female,90,25,90,2,Medium,80,2.9,TRUE
1117,Michael Sampson,Male,85,25,,1,Medium,87,2.6,FALSE
4510,Daniel Erickson,Male,91,22,77,3,Medium,62,1,FALSE
6804,David Aguilar,Female,70,17,78,2,High,,3.6,
4139,Benjamin Vance,Male,82,17,65,0,High,85,2.3,FALSE
2604,Yolanda Chen,Male,82,15,85,3,High,,2.4,FALSE
1960,Kristina Douglas,,,15,60,2,Medium,85,2.1,FALSE
3536,Scott Davidson,Male,88,25,78,3,Low,72,0.3,
1821,Alexandra Harrington,Female,82,12,65,1,Low,87,4.3,TRUE
4853,Richard Johnson,Female,90,22,90,3,Low,80,3.1,FALSE
,Christopher Chapman,Male,95,25,82,0,High,85,2.3,TRUE
1152,Jerry Browning,Female,91,22,85,2,Low,92,2.5,FALSE
2127,Carrie Page,Male,95,18,65,1,Low,85,3.1,TRUE
5905,Michelle Benjamin,Male,78,18,85,2,Low,72,0.8,TRUE
6617,James Woods,Male,88,12,77,2,High,87,3.2,TRUE
1058,Angela Dunn,Female,78,18,65,1,Low,62,2.8,TRUE
3442,Nathan Riley,Male,95,22,70,0,Medium,68,0.2,TRUE
6862,Shelby Mahoney,Male,92,20,88,2,Medium,88,3.7,TRUE
3900,Andrea Frey,Female,85,10,88,0,Low,92,1.3,TRUE
7267,Justin Martin,Male,85,25,90,1,Medium,85,4.1,TRUE
1387,Mark Hartman,Male,70,30,82,2,Medium,90,3.2,FALSE
1452,Antonio Hansen,Male,88,10,86,2,High,87,3,FALSE
8149,Lynn Anderson,Male,70,22,90,2,High,62,0,TRUE
6967,Michael Cooley,Female,90,30,86,1,Low,87,3.6,FALSE
7691,Mitchell Sanders,Female,70,18,70,0,High,62,3.3,TRUE
5930,Maria Cross,Female,82,,82,,High,62,3.9,FALSE
8618,Lisa Castillo,Female,85,25,70,1,Low,68,3.3,FALSE
2530,Theresa Rodriguez,Male,88,25,90,0,High,80,1.2,TRUE
8461,Kimberly Wood,Female,91,25,60,1,Medium,92,0.7,TRUE
2746,Patricia Cox,Female,92,10,70,1,High,72,1.2,FALSE
3184,Kimberly Blair,Female,82,12,86,1,Medium,88,4.1,FALSE
9976,Jason Ramirez,Female,78,17,77,2,High,85,3.8,FALSE
4919,Gail Dudley,Female,85,20,82,3,Medium,90,1.6,TRUE
3267,John West,Male,92,8,65,3,High,62,2,FALSE
7812,Patricia Carr,Male,92,8,60,3,Low,80,4.3,FALSE
8814,David Nunez,Male,95,18,60,0,Low,72,4,FALSE
4595,Collin Peterson,Female,70,17,78,0,Medium,62,3.6,TRUE
9751,Rebecca Smith,Male,70,22,86,1,High,62,0.7,TRUE
1823,Lisa Benjamin,Female,70,30,90,1,Medium,90,3.8,FALSE
7906,Desiree Reyes,Female,90,17,78,2,High,90,1.1,TRUE
1508,Megan Diaz,Male,92,15,86,0,High,68,2.4,TRUE
8619,Joseph Adams,Female,95,10,86,3,Low,87,3.9,FALSE
2771,Sharon Watson,Male,88,22,60,0,Low,92,0.4,TRUE
2669,Tiffany Smith,Female,91,20,86,1,Medium,72,2.1,TRUE
9289,Alexander Preston,Female,85,8,77,2,Medium,90,3.2,TRUE
8135,Randall Hickman,Male,82,18,86,2,Medium,78,2.2,FALSE
6280,David Hernandez,Male,90,18,77,3,Medium,88,3.1,FALSE
1470,Michelle Jones,Female,95,10,77,3,Medium,85,-5,FALSE
1166,Tonya Gonzalez,Male,90,25,60,1,Low,92,3.5,FALSE
8342,Sarah Johnson,Male,90,18,90,0,Low,92,1.5,FALSE
8753,Grace Valencia,Female,70,12,88,1,Low,78,1.4,TRUE
2976,Sarah Young,Male,95,20,70,0,,92,3.7,FALSE
2647,Gerald Weber,Male,88,25,88,,Medium,80,3.5,FALSE
1745,Gregory Turner,Male,82,18,,1,High,80,2.9,FALSE
8216,Laura Cortez,Female,78,15,82,1,High,87,2,TRUE
3485,Lori Miller,Male,91,18,85,3,High,72,3.8,TRUE
9561,Lori Gomez PhD,Female,85,17,82,3,Medium,85,2.8,TRUE
4404,Dawn Foster,Male,88,20,65,,High,72,0.4,FALSE
8381,Peter Welch,Female,88,15,90,2,Low,,3.5,TRUE
4824,Maria Carter,Female,91,25,60,2,Low,92,3.2,TRUE
2169,Daniel Hood,Male,78,18,86,3,Medium,78,0.6,FALSE
7594,Amanda Hernandez,Female,82,12,77,1,High,88,0.2,FALSE
5102,Alyssa Schmidt,,90,25,86,3,High,85,2.9,TRUE
8708,Taylor Merritt DVM,Female,88,10,86,0,Low,78,4.8,FALSE
